code|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_PP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP
CIC1401|0,9|5|||||0|0|0|0|0,2|2|1,1|2|0,1|1|6,35|49|4,8|12|0,3|1|0,1|1|11,35|17|0|0|3,1|5|2,6|4
CIC1402|||||||0|0|0|0|0|0|0|0|2|4|8,65|27|7,6|8|||||8|9|0|0|3|3||
CIC1403|||||||0|0|3|3|0|0|0|0|||4|9|27,55|30|||1|1|22|25|0|0|3|3|0,5|1
CIC1404|||||||0|0|0|0|0|0|0|0|||1,3|3|1|2|||||6,7|7|0|0|1|1||
CIC1405|||||||0|0|0|0|0|0|0|0|0,55|3|1,35|6|3,5|6|||||3,4|4|0|0|0|0||
CIC1406|||||||0|0|0|0|1|1|0|0|||2,45|15|16,4|19|||||7,9|9|0|0|1|1|0,9|2
CIC1407|||||||0|0|0|0|0|0|0|0|||1,55|4|28,45|31|||||15,05|16|0|0|0|0|2,8|3
CIC1408|||||||0|0|0|0|0|0|0|0|||3,05|9|2,7|4|||0,5|1|4,2|7|0|0|0,5|1|0,7|1
CIC1409|||||||0,5|1|0|0|0|0|0|0|0,25|1|5,8|21|7,4|11|1|1|||35,4|50|0|0|0|0|4,8|5
CIC1410|||||||0|0|0,5|1|1|1|0|0|0,3|1|5,7|12|3,7|8|||||4,2|5|0|0|0|0|1|1
