|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_ETP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP|etp_total
CIC1401-1|||||||0|0|0|0|0|0|0|0|||1,1|2|0|0|||||4,5|5|0|0|2|2|||7,6
CIC1401-2|0,9|5|||||0|0|0|0|0,2|2|1,1|2|0,1|1|3,7|35|2,8|10|0,3|1|0,1|1|2,85|8|0|0|1,1|3|1,6|3|14,75
CIC1401-3|||||||0|0|0|0|0|0|0|0|||1,55|12|2|2|||||4|4|0|0|0|0|1|1|8,55
CIC1402-1|||||||0|0|0|0|0|0|0|0|2|4|8,65|27|7,6|8|||||8|9|0|0|3|3|||29,25
CIC1403-1|||||||0|0|0|0|0|0|0|0|||2,75|6|22,55|25|||1|1|12,7|15|0|0|3|3|0,5|1|42,5
CIC1403-2|||||||0|0|3|3|0|0|0|0|||1,25|3|5|5|||||9,3|10|0|0|0|0|||18,55
CIC1404-1|||||||0|0|0|0|0|0|0|0|||1,3|3|1|2|||||6,7|7|0|0|1|1|||10
CIC1405-1|||||||0|0|0|0|0|0|0|0|0,55|3|1,35|6|3,5|6|||||3,4|4|0|0|0|0|||8,8
CIC1406-1|||||||0|0|0|0|1|1|0|0|||1,7|9|11,4|14|||||5|6|0|0|0|0|0,6|1|19,7
CIC1406-2|||||||0|0|0|0|0|0|0|0|||0,75|6|5|5|||||2,9|3|0|0|1|1|0,3|1|9,95
CIC1407-1|||||||0|0|0|0|0|0|0|0|||1,55|4|28,45|31|||||15,05|16|0|0|0|0|2,8|3|47,85
CIC1408-1|||||||0|0|0|0|0|0|0|0|||3,05|9|2,7|4|||0,5|1|4,2|7|0|0|0,5|1|0,7|1|11,65
CIC1409-1|||||||0,5|1|0|0|0|0|0|0|||4,7|12|7,4|11|1|1|||32,7|43|0|0|0|0|4,8|5|51,1
CIC1409-2|||||||0|0|0|0|0|0|0|0|0,25|1|1,1|9|0|0|||||2,7|7|0|0|0|0|||4,05
CIC1410-1|||||||0|0|0,5|1|1|1|0|0|0,3|1|5,7|12|3,7|8|||||4,2|5|0|0|0|0|1|1|16,4
CIC1411-1|||||||0|0|0|0|0|0|0|0|||1,45|3|4,5|5|||||5|6|0|0|0|0|||10,95
CIC1412-1|||||||0|0|0|0|0|0|0|0|||0,6|2|4|4|||||51,5|54|0|0|0|0|6,8|7|62,9
